CUSTNAME,GenderCode,ADDRESS1,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,POSTAL_CODE_PLUS4,ADDRESS2,EMAIL_ADDRESS,PHONE_NUMBER,CREDITCARD_TYPE,LOCALITY,SALESMAN_ID,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,DRIVER_LICENSE,CUSTID,ORDER_ID,ORDER_DATE,ORDER_TIME,FREIGHT_CHARGES,ORDER_SALESMAN,ORDER_POSTED_DATE,ORDER_SHIP_DATE,AGE,ORDER_VALUE,T_TYPE,PURCHASE_TOUCHPOINT,PURCHASE_STATUS,ORDER_TYPE,GENERATION,Detergent Powder,Dettol,Geometry Sets,Handwash,Note Book,OZiva Protein,Pen,Pencil,Rechargeble Solor Light,Regular Rice 10 kg,Solar Cooker,Glucose solution 50%,Cerelac From 6 Months,Cerelac From 12 Months,Rice 5 kg,Milk Cereal,Veg Soup,Horlicks
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.17976E+15,,10003,1106,00:00.0,29:06.2,29.79,NC298 ,00:00.0,27-07-16,27,134.24,Complete,Phone,Frequent,MediumValue,Gen_Y,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.1518E+15,,10003,2948,00:00.0,13:54.6,17.87,SW277 ,00:00.0,27-03-16,27,53.4,Abandoned,Phone,Frequent,MediumValue,Gen_Y,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.17217E+15,,10003,3323,00:00.0,39:06.2,31.88,NC160 ,00:00.0,27-09-16,27,26.25,Complete,Desktop,Frequent,LowValue,Gen_Y,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.15925E+15,,10003,7498,00:00.0,19:56.1,18.45,SW409 ,00:00.0,03-01-16,27,5.65,Complete,Phone,Frequent,LowValue,Gen_Y,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.13943E+15,,10003,7973,00:00.0,07:36.4,23.12,WE352 ,00:00.0,01-04-16,27,44.43,Complete,Phone,Frequent,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Allen Perl          ,Mr.,4707    Hillcrest Lane,Abeto,PG,IT,6040,0,,Allen.M.Perl@spambob.com,0370 4762239,Master Card,,RP385 ,U.S.,22867928,5.12184E+15,,10003,9107,00:00.0,07:36.4,22.77,NW379 ,00:00.0,01-03-16,27,24.18,Complete,Phone,Frequent,LowValue,Gen_Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Whitney     ,Mr.,518 Highland    View      Drive,Achstetten,,DE,88480,0,,Anthony.H.Whitney@pookmail.com,03571 39 94 30,VISA,,WE349 ,IT,NXFXLA90D69D741G,4.46993E+15,,10007,7441,00:00.0,39:06.2,11.05,SC130 ,00:00.0,27-02-16,NA,9999999,Complete,Desktop,FirstTime,HighValue,Gen_Z,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.66281E+15,,10015,627,47:25.0,47:25.4,6.37,NC163 ,47:25.0,05-08-16,60,40.34,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.01665E+15,,10015,1209,00:00.0,43:54.6,23.37,SW340 ,00:00.0,27-02-16,60,18.81,Cancelled,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thomas Owens        ,Mr.,4030 Jessie Street,Adami,CZ,IT,88041,0,,Thomas.N.Owens@mailinator.com,0341 5536286,VISA,,WE352 ,FR,1.48E+14,4.56388E+15,,10015,1556,00:00.0,36:44.9,19.81,NW310 ,00:00.0,10-05-16,60,34.04,Complete,Phone,Occasional,LowValue,Baby_Boomers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
